Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C500, C501, C502, C503, C504, C505, C506",0805,9,47nF,
C507,CP_EIA-7132-20_AVX-U,1,10uF,
C508,0805,1,?,
J116,Compaq_SLT286_RAM,1,EDGE,
"R1, R2",0805,2,33R,
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74AL138,
"U3, U4, U5, U500, U501, U502, U503, U504, U6",SSOP-32_11.305x20.495mm_P1.27mm,9,IS61C5128AS-25TLI,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC08,
